TABLE I: CANNABINOID PROFILEAnalysis Date: 7/26/2023,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
This sample was analyzed using Liquid Chromatography (LC).  The collected data was compared to data collected for a reference standards at aknown concentration.,,,,,
Test ID,Analyte,Concentrationunit = %wt,"""Dose"" weightunit = mg/g",LODunit = ppm,LOQunit = ppm
A117196,D9-THC,1.94,19.4,156.00,469.00
A117196,THCV,ND,ND,156.00,469.00
A117196,CBD,ND,ND,156.00,469.00
A117196,CBDV,ND,ND,156.00,469.00
A117196,CBG,0.413,4.13,156.00,469.00
A117196,CBC,0.0970,0.970,156.00,469.00
A117196,CBN,ND,ND,156.00,469.00
A117196,THCA,82.9,829,156.00,469.00
A117196,CBDA,0.213,2.13,156.00,469.00
A117196,CBGA,3.35,33.5,156.00,469.00
A117196,CBDVA,ND,ND,156.00,469.00
A117196,D8-THC,ND,ND,156.00,469.00
A117196,exo-THC,ND,ND,156.00,469.00
